sample,sample_label,relation,n_clusters,quality_counts,alpha,alpha_err_lo,alpha_err_hi,beta,beta_err_lo,beta_err_hi,gamma,gamma_err_lo,gamma_err_hi,intrinsic_scatter_dex,scatter_err_lo,scatter_err_hi,observed_rms_dex,model,self_similar_beta,self_similar_gamma
all,all fitted clusters,Lx-M500,23,"{""acceptable"": 3, ""bad"": 3, ""good"": 11, ""high"": 6}",0.850494458195352,0.15036906735965283,0.14111298347148638,0.9302344451259092,0.2967090135004635,0.3082415415520925,2.0,0.0,0.0,0.20267028165528123,0.036575420841069295,0.046333081163232676,0.20033701264814446,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(M500c / 3e14 Msun),1.3333333333333333,2.0
all,all fitted clusters,Tx-M500,23,"{""acceptable"": 3, ""bad"": 3, ""good"": 11, ""high"": 6}",0.6769456291262559,0.1569199697741932,0.1586780348877288,0.5364079232052064,0.3135305650328829,0.3304530110076921,0.6666666666666666,0.0,0.0,0.23111602250569296,0.037695993248357346,0.04522144595173061,0.21179801311359858,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(M500c / 3e14 Msun),0.6666666666666666,0.6666666666666666
exclude_bad,excluding bad/failed fits,Lx-M500,20,"{""acceptable"": 3, ""good"": 11, ""high"": 6}",0.8268311647276403,0.1619127765637296,0.15701910792194973,0.9605803681830185,0.2929904628705804,0.33928925602514837,2.0,0.0,0.0,0.19014658341509535,0.03686260507332653,0.044876612926117665,0.18859223008971146,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(M500c / 3e14 Msun),1.3333333333333333,2.0
exclude_bad,excluding bad/failed fits,Tx-M500,20,"{""acceptable"": 3, ""good"": 11, ""high"": 6}",0.620364656723367,0.09169966287091391,0.08660395287603473,0.5916307686306144,0.16357521140050696,0.17974411256577238,0.6666666666666666,0.0,0.0,0.1053146293360744,0.023130569858163336,0.028260607298768267,0.11148457516777913,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(M500c / 3e14 Msun),0.6666666666666666,0.6666666666666666
