sample,sample_label,relation,n_clusters,quality_counts,x_error_fallback_clusters,mass_error_fallback_clusters,y_error_fallback_clusters,alpha,alpha_err_lo,alpha_err_hi,beta,beta_err_lo,beta_err_hi,gamma,gamma_err_lo,gamma_err_hi,intrinsic_scatter_dex,scatter_err_lo,scatter_err_hi,observed_rms_dex,model,self_similar_beta,self_similar_gamma
all,all fitted clusters,Lx-M500,23,"{""acceptable"": 4, ""bad"": 5, ""good"": 11, ""high"": 3}",,,Abell_0697;Abell_0750;MS2137-2353;RXJ1347.5-1145,0.7318324828840963,0.17038219286109135,0.1603362022873599,1.2032842182841366,0.3319888124857656,0.35178488172383693,2.0,0.0,0.0,0.17335409241222838,0.03596185025097548,0.041453179253051115,0.2166837711932613,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(X / X_pivot),1.3333333333333333,2.0
all,all fitted clusters,Tx-M500,23,"{""acceptable"": 4, ""bad"": 5, ""good"": 11, ""high"": 3}",,,Abell_0750;MS2137-2353,0.691440659275683,0.20361340651776594,0.20944223376653526,0.5831820624992146,0.426187604868537,0.43559498891468085,0.6666666666666666,0.0,0.0,0.2889313078860384,0.04656331031167871,0.05615425448447786,0.26009113613270496,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(X / X_pivot),0.6666666666666666,0.6666666666666666
all,all fitted clusters,Lx-Tx,23,"{""acceptable"": 4, ""bad"": 5, ""good"": 11, ""high"": 3}",Abell_0750;MS2137-2353,,Abell_0697;Abell_0750;MS2137-2353;RXJ1347.5-1145,1.1903556256896621,0.07550995612166855,0.08256301263909038,0.5203230061524504,0.17405858903042504,0.18954055740739373,1.0,0.0,0.0,0.2447748819607375,0.035215167577945156,0.046016766746969195,0.2188014629043127,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(X / X_pivot),2.0,1.0
