sample,sample_label,relation,n_clusters,quality_counts,x_error_fallback_clusters,mass_error_fallback_clusters,y_error_fallback_clusters,alpha,alpha_err_lo,alpha_err_hi,beta,beta_err_lo,beta_err_hi,gamma,gamma_err_lo,gamma_err_hi,intrinsic_scatter_dex,scatter_err_lo,scatter_err_hi,observed_rms_dex,model,self_similar_beta,self_similar_gamma
exclude_bad,excluding bad/failed fits,Lx-M500,18,"{""acceptable"": 4, ""good"": 11, ""high"": 3}",,,Abell_0068;MACSJ0647.7+7015,0.7442519616314551,0.2258854583995381,0.21275017019463482,1.090585793148281,0.450900339997075,0.468816825913827,2.0,0.0,0.0,0.16496907636217378,0.03541111436259356,0.05089283914271597,0.19834827798732957,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(X / X_pivot),1.3333333333333333,2.0
exclude_bad,excluding bad/failed fits,Tx-M500,18,"{""acceptable"": 4, ""good"": 11, ""high"": 3}",,,,0.65376314920618,0.11263833226052489,0.11631829608853317,0.5050887582944424,0.25153326915873625,0.2363097396291972,0.6666666666666666,0.0,0.0,0.11552914481682658,0.023623195283709292,0.03079577053142829,0.11289468581417623,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(X / X_pivot),0.6666666666666666,0.6666666666666666
exclude_bad,excluding bad/failed fits,Lx-Tx,18,"{""acceptable"": 4, ""good"": 11, ""high"": 3}",,,Abell_0068;MACSJ0647.7+7015,1.1447525487076535,0.1124491226549118,0.11690755944569742,0.7690052280175235,0.4330044082124109,0.4566119416009169,1.0,0.0,0.0,0.22670437949486277,0.040406235767148885,0.051144748152691655,0.1972924678049747,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(X / X_pivot),2.0,1.0
