sample,sample_label,relation,n_clusters,quality_counts,x_error_fallback_clusters,mass_error_fallback_clusters,y_error_fallback_clusters,alpha,alpha_err_lo,alpha_err_hi,beta,beta_err_lo,beta_err_hi,gamma,gamma_err_lo,gamma_err_hi,intrinsic_scatter_dex,scatter_err_lo,scatter_err_hi,observed_rms_dex,model,self_similar_beta,self_similar_gamma
all,all fitted clusters,Lx-M500,23,"{""acceptable"": 4, ""bad"": 5, ""good"": 11, ""high"": 3}",,,Abell_0697;Abell_0750;MS2137-2353;RXJ1347.5-1145,0.7460253408967559,0.1826093953548672,0.15417382175364636,1.1717207248971584,0.3231835312270235,0.3709716477246827,2.0,0.0,0.0,0.17570408003945875,0.04066484903746831,0.04302411775773632,0.2135768858955387,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(X / X_pivot),1.3333333333333333,2.0
all,all fitted clusters,Tx-M500,23,"{""acceptable"": 4, ""bad"": 5, ""good"": 11, ""high"": 3}",,,Abell_0750;MS2137-2353,0.679634128788892,0.20233470925867414,0.20527904891804483,0.6142761866641604,0.4262909507431869,0.4441473279244095,0.6666666666666666,0.0,0.0,0.2842306931793043,0.04197122638801709,0.054525073257596535,0.26079919348379976,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(X / X_pivot),0.6666666666666666,0.6666666666666666
all,all fitted clusters,Lx-Tx,23,"{""acceptable"": 4, ""bad"": 5, ""good"": 11, ""high"": 3}",Abell_0750;MS2137-2353,,Abell_0697;Abell_0750;MS2137-2353;RXJ1347.5-1145,1.1953520598065381,0.0758298089440379,0.07563764390569205,0.528820133729692,0.1836668221469308,0.18516713681488473,1.0,0.0,0.0,0.24274644517969285,0.03608349270284575,0.04591614496148361,0.21873102748284254,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(X / X_pivot),2.0,1.0
exclude_bad,excluding bad/failed fits,Lx-M500,18,"{""acceptable"": 4, ""good"": 11, ""high"": 3}",,,,0.7534085755757194,0.21861870094334135,0.2415119700532431,1.0812717491042516,0.48397472989487955,0.45310650476019654,2.0,0.0,0.0,0.16945984782766157,0.046231830426736786,0.05422586397584894,0.19723024546036647,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(X / X_pivot),1.3333333333333333,2.0
exclude_bad,excluding bad/failed fits,Tx-M500,18,"{""acceptable"": 4, ""good"": 11, ""high"": 3}",,,,0.665127230133568,0.14081576856646405,0.12198006252555937,0.49659298082128345,0.27001598455026876,0.2920831219681762,0.6666666666666666,0.0,0.0,0.1173377040611697,0.024325548472130837,0.029388928103868422,0.1123367510636487,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(X / X_pivot),0.6666666666666666,0.6666666666666666
exclude_bad,excluding bad/failed fits,Lx-Tx,18,"{""acceptable"": 4, ""good"": 11, ""high"": 3}",,,,1.1515394961766905,0.12521336183712983,0.11193554227202318,0.7661295607351389,0.43727236740092684,0.4699006203070456,1.0,0.0,0.0,0.22687858108137987,0.03820567161685026,0.048993268330066286,0.19739637050804307,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(X / X_pivot),2.0,1.0
good_only,quality=good only,Lx-M500,11,"{""good"": 11}",,,,1.0463969691667312,0.33869061950985,0.3099651350827295,0.519714964567427,0.6249227733842089,0.6398980727810812,2.0,0.0,0.0,0.22007814515542273,0.05149143951515597,0.08129746648468644,0.1878000836179251,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(X / X_pivot),1.3333333333333333,2.0
good_only,quality=good only,Tx-M500,11,"{""good"": 11}",,,,0.6483001353219753,0.10551408658733619,0.08672899390859568,0.4314537675519208,0.17033860189459915,0.20323786248692266,0.6666666666666666,0.0,0.0,0.06309740796271338,0.027533264419726915,0.03658105147231004,0.059578673712850076,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(X / X_pivot),0.6666666666666666,0.6666666666666666
good_only,quality=good only,Lx-Tx,11,"{""good"": 11}",,,,1.1369193637524346,0.18508908650968425,0.19614201866173353,1.1797864580346382,0.8948339725636876,0.8438805683045918,1.0,0.0,0.0,0.22922299554272188,0.04993937640529589,0.08926368754344957,0.17788977952699925,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(X / X_pivot),2.0,1.0
