cluster_key,z,M500_1e14_msun,R500_arcsec,Tx_full_keV,Tx_full_err_lo,Tx_full_err_hi,Lx_full_bol_1e44,Lx_full_err_lo,Lx_full_err_hi,Tx_core_keV,Tx_core_err_lo,Tx_core_err_hi,Lx_core_bol_1e44,Lx_core_err_lo,Lx_core_err_hi,quality_full,quality_core
Abell_0209,0.2060,12.342857,451.100818073,8.05366185506,0.481946878522,0.535522601389,19.2169966535,0.616013801746,0.676631959959,8.74222019613,,,11.2635233388,0.231275545656,0.218568014432,good,good
Abell_0068,0.2546,6.828571,310.064843692,11.900070201,1.275,1.588,18.339677475,0.457861415572,0.393884623127,11.1897892142,,,13.9935157384,0.465633091374,0.360468416798,acceptable,acceptable
Abell_0267,0.2300,5.6,315.822712645,8.9009153216,0.526082203425,0.578256475279,13.447839171,0.424364355053,0.461481634744,8.77285051739,,,7.24265571204,0.17900055471,0.168196028446,acceptable,acceptable
Abell_0383,0.1870,5.2,367.392143263,4.72325203708,0.0927431529364,0.0927431529364,9.08929821582,0.102357916971,0.102357916971,5.95355154743,,,3.25203467576,0.0710321859093,0.0679113688144,acceptable,high
Abell_0586,0.1710,7.2,442.491065634,8.10149561389,0.35876643275,0.382488135919,11.4067789937,0.268766221681,0.284516978538,7.61696447871,,,5.18651460743,0.137986830279,0.124926132805,good,good
Abell_0611,0.2880,9.1,308.505627267,12.8718858023,0.840468204774,1.3134289779,17.1775059667,0.585218461623,0.989780251506,29.2321331695,,,9.46887852377,0.368019750738,0.380787931316,high,high
Abell_2261,0.2240,15.65,454.838378106,8.3485772881,0.298177952155,0.314703412788,23.7262383371,0.45185013166,0.473939858808,11.3027391326,,,10.5559612851,0.0939776175853,0.0939324837161,good,acceptable
MACSJ0329.7-0211,0.4500,6.51,194.957467309,7.191112177,0.263049593014,0.288821813859,27.5846966847,0.562053831938,0.60811903473,11.5807702829,,,11.9369985726,0.382478362148,0.301138068407,good,high
MACSJ0429.6-0253,0.3990,6.85,217.14147831,6.43277926851,0.342736604847,0.368270871217,21.1400783195,0.637114126887,0.678751359926,7.75452387632,,,7.14047236386,0.434046599944,0.395528862441,good,good
MACSJ0647.7+7015,0.5840,9.49,182.926466572,16.7405492787,1.969,2.65,41.5394050317,1.10326691329,0.975653793024,16.9042936136,,,23.3320805064,0.88815258844,0.815059547937,high,high
MACSJ0744.9+3927,0.6860,11.94,176.596422593,10.1500299426,0.5553903381,0.601268692728,42.5247497745,1.242189645,1.33488309793,10.716127551,,,20.952745602,0.7664831463,0.698039247516,good,good
MACSJ1115.9+0129,0.3520,10.67,277.307298778,8.92363300875,0.525792568009,0.579232519121,33.3052538276,1.05122064607,1.14628947385,12.1725879843,,,13.6803953238,0.22667487103,0.199796516156,good,acceptable
MACSJ1206.2-0847,0.4400,12.24,244.701549908,12.3487808554,0.363295142549,0.406587390658,52.5065865275,0.808016672779,0.896417581273,12.9593369485,,,28.6033429387,0.239833940414,0.243052827648,high,high
MACSJ1720.3+3536,0.3910,9.96,249.840491449,7.31651223319,0.465964744119,0.495854563938,23.3812784041,0.812317411538,0.860334464448,12.8931668973,,,10.7647331006,0.172111461217,0.174435231317,acceptable,high
MACSJ1931.8-2635,0.3520,10.51,275.914208788,7.38529988722,0.334669825076,0.380465851435,39.8077161415,1.00795069331,1.1216696938,6.19628244129,,,10.5360051966,0.526305947657,0.488210761778,good,good
RXJ1532.9+3021,0.3630,4.17,197.940312183,5.86356755622,0.278267288387,0.290582372314,41.1603540564,1.13871214253,1.18064945099,6.7119489842,,,14.0405460489,0.788437651926,0.715096102371,good,acceptable
RXJ2129.7+0005,0.2340,4.48,288.983457263,6.84390325425,0.182649727483,0.195656007354,18.7583355191,0.276025348074,0.293408251678,7.48043575474,,,8.66665851397,0.149438227151,0.153975106107,good,acceptable
RXJ2248.7-4431,0.3480,12.45,294.564411496,12.149296076,0.477356367131,0.578765189055,78.3820883774,1.60928069254,1.93026081975,12.607974975,,,40.770904966,0.481869962972,0.419112560143,good,good

