sample,sample_label,relation,n_clusters,quality_counts,x_error_fallback_clusters,mass_error_fallback_clusters,y_error_fallback_clusters,alpha,alpha_err_lo,alpha_err_hi,beta,beta_err_lo,beta_err_hi,gamma,gamma_err_lo,gamma_err_hi,intrinsic_scatter_dex,scatter_err_lo,scatter_err_hi,observed_rms_dex,model,self_similar_beta,self_similar_gamma
exclude_bad,excluding bad/failed fits,Lx-M500,13,"{""acceptable"": 4, ""good"": 4, ""high"": 5}",,,,0.34476836570964625,0.2785090461312242,0.22298548885640262,1.178013493838399,0.4765372149433321,0.5641618584868224,2.0,0.0,0.0,0.1721067659348104,0.04592521461693713,0.06815742369275629,0.15592126942600903,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(X / X_pivot),1.3333333333333333,2.0
exclude_bad,excluding bad/failed fits,Tx-M500,13,"{""acceptable"": 4, ""good"": 4, ""high"": 5}",,,Abell_0209;Abell_0068;Abell_0267;Abell_0383;Abell_0586;Abell_0611;Abell_2261;MACSJ0329.7-0211;MACSJ0429.6-0253;MACSJ0647.7+7015;MACSJ0744.9+3927;MACSJ1115.9+0129;MACSJ1206.2-0847,0.7869523423508566,0.24353035675646484,0.2145325993385092,0.44797993424482746,0.4787948030089984,0.49601074010510254,0.6666666666666666,0.0,0.0,0.17383209494827004,0.036285249176475104,0.06185754092620244,0.15035934311760227,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(X / X_pivot),0.6666666666666666,0.6666666666666666
exclude_bad,excluding bad/failed fits,Lx-Tx,13,"{""acceptable"": 4, ""good"": 4, ""high"": 5}",Abell_0209;Abell_0068;Abell_0267;Abell_0383;Abell_0586;Abell_0611;Abell_2261;MACSJ0329.7-0211;MACSJ0429.6-0253;MACSJ0647.7+7015;MACSJ0744.9+3927;MACSJ1115.9+0129;MACSJ1206.2-0847,,,0.6936735581902174,0.16393690132665895,0.15689349095516103,0.7842367417656475,0.43694726666963163,0.4210202998654593,1.0,0.0,0.0,0.23623541297018902,0.052115193203788795,0.06650474894056774,0.18924068794732238,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(X / X_pivot),2.0,1.0
