sample,sample_label,relation,n_clusters,quality_counts,x_error_fallback_clusters,mass_error_fallback_clusters,y_error_fallback_clusters,alpha,alpha_err_lo,alpha_err_hi,beta,beta_err_lo,beta_err_hi,gamma,gamma_err_lo,gamma_err_hi,intrinsic_scatter_dex,scatter_err_lo,scatter_err_hi,observed_rms_dex,model,self_similar_beta,self_similar_gamma
all,all fitted clusters,Lx-M500,13,"{""acceptable"": 4, ""good"": 4, ""high"": 5}",,,,0.34507023612509247,0.26731639723631523,0.21542297281245537,1.1881460374221473,0.493418846311636,0.5497978037119402,2.0,0.0,0.0,0.1760391812571314,0.04605687263522443,0.06721033517782185,0.15656311551615737,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(X / X_pivot),1.3333333333333333,2.0
all,all fitted clusters,Tx-M500,13,"{""acceptable"": 4, ""good"": 4, ""high"": 5}",,,Abell_0209;Abell_0068;Abell_0267;Abell_0383;Abell_0586;Abell_0611;Abell_2261;MACSJ0329.7-0211;MACSJ0429.6-0253;MACSJ0647.7+7015;MACSJ0744.9+3927;MACSJ1115.9+0129;MACSJ1206.2-0847,0.7442725726625865,0.2434997030327677,0.23597228579296292,0.5147334755352556,0.47278166749038536,0.5041087097737166,0.6666666666666666,0.0,0.0,0.17912566322021253,0.04106595564902696,0.05718512260518896,0.15109641377161329,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(X / X_pivot),0.6666666666666666,0.6666666666666666
all,all fitted clusters,Lx-Tx,13,"{""acceptable"": 4, ""good"": 4, ""high"": 5}",Abell_0209;Abell_0068;Abell_0267;Abell_0383;Abell_0586;Abell_0611;Abell_2261;MACSJ0329.7-0211;MACSJ0429.6-0253;MACSJ0647.7+7015;MACSJ0744.9+3927;MACSJ1115.9+0129;MACSJ1206.2-0847,,,0.6867660925178596,0.15290827457721234,0.15738133730908543,0.7853457615788084,0.4149125578699142,0.4303927023491074,1.0,0.0,0.0,0.2334055021197357,0.04811419296722927,0.07238946725332535,0.18931824763558597,log10(Y / E(z)^gamma_fixed) = alpha + beta*log10(X / X_pivot),2.0,1.0
