cluster_key,config_key,cluster_name,z,nH_1e22,M500_1e14_msun,R500_arcsec,R500_Mpc,Tx_keV,Tx_err_lo,Tx_err_hi,abundance_solar,apec_norm,Lx_bol_1e44_erg_s,Lx_soft_1e44_erg_s,flux_bol_1e12_erg_s_cm2,rstat,qval,dof,n_src_spec,n_ann_spec,R_EM,annulus_rstat,accept_Tx_keV,accept_Lx_1e44_erg_s,ratio_Tx_accept,method,xrb_policy,abundance_policy,fit_band,qa_flags,quality,exclude_from_main_scaling,exclude_reason,spectral_status,status,pipeline_notes,result_json
MACSJ0429.6-0253,MACSJ0429_6_0253,MACSJ0429.6-0253,0.3990,0.0165,6.85,217.1,1.1649,6.43277926851,-0.342736604847,0.368270871217,0.3,0.00407514852452,21.1400783195,6.60477416617,3.76683132428,0.966895714569,0.679918036388,429,1,1,0.111969291148,1.08517343895,6.76,11.7,0.951594566348,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,good,False,,done,done,"T_X=6.43 (ACCEPT=6.76, 0.95x) rstat=0.97; blank-sky XRB",output/products/spectral/MACSJ0429_6_0253_results.json
MACSJ0647.7+7015,MACSJ0647_7_7015,MACSJ0647.7+7015,0.5840,0.0165,9.49,182.9,1.2075,16.7405492787,1.969,2.65,0.3,0.00318984649601,41.5394050317,8.52382725681,2.97455202089,1.14892656469,0.00154091862137,858,2,2,0.0242427503717,0.953317613396,9.07,26.7,1.84570554341,blank_sky_XRB_heRenorm,flexible,fixed,0.7-7,low_q_value,high,False,,done,done,"T_X=16.74 (ACCEPT=9.07, 1.85x) rstat=1.15; flexible XRB test; high Tx persists",output/products/spectral/MACSJ0647_7_7015_results.json
MACSJ0744.9+3927,MACSJ0744_9_3927,MACSJ0744.9+3927,0.6860,0.0165,11.94,176.6,1.2517,10.1500299426,-0.5553903381,0.601268692728,0.3,0.00271401932284,42.5247497745,10.4266825494,2.05791596792,1.0601508327,0.0658963210255,1283,3,3,0.00590171123171,1.02397813037,11.29,24.9,0.899028338586,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,good,False,,done,done,"T_X=10.15 (ACCEPT=11.29, 0.90x); blank-sky XRB",output/products/spectral/MACSJ0744_9_3927_results.json
MACSJ1115.9+0129,MACSJ1115_9_0129,MACSJ1115.9+0129,0.3520,0.0165,10.67,277.3,1.3749,8.92363300875,-0.525792568009,0.579232519121,0.3,0.00723286572366,33.3052538276,8.95655626265,7.96564155637,0.98279976421,0.591427446959,431,1,1,0.129258530873,1.3839817975,9.26,1.49,0.963675270923,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,good,False,,done,done,"T_X=8.92 (ACCEPT=9.26, 0.96x); blank-sky XRB",output/products/spectral/MACSJ1115_9_0129_results.json
MACSJ1206.2-0847,MACSJ1206_2_0847,MACSJ1206.2-0847,0.4400,0.0165,12.24,244.7,1.3913,12.3487808554,-0.363295142549,0.406587390658,0.3,0.00698959910965,52.5065865275,12.2428526742,7.42073557453,1.08372850654,0.00356964926027,2163,5,5,0.0435174193114,1.08927466936,7.88,37.3,1.56710416946,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,high,False,,done,done,"T_X=12.35 (ACCEPT=7.88, 1.57x) rstat=1.08; blank-sky XRB; rerun with 5/6 ObsIDs after CALDB/PFILES fix",output/products/spectral/MACSJ1206_2_0847_results.json
MACSJ1720.3+3536,MACSJ1720_3_3536,MACSJ1720.3+3536,0.3910,0.0165,9.96,249.8,1.3238,7.31651223319,-0.465964744119,0.495854563938,0.3,0.00445549637006,23.3812784041,6.8552066716,4.3700090584,1.10563887513,0.0640277459383,431,1,1,0.197639611235,1.02971128205,5.65,13.1,1.29495791738,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,acceptable,False,,done,done,"T_X=7.32 (ACCEPT=5.65, 1.30x); blank-sky XRB; partial ObsID (1/4)",output/products/spectral/MACSJ1720_3_3536_results.json
MACSJ1931.8-2635,MACSJ1931_8_2635,MACSJ1931.8-2635,0.3520,0.0165,10.51,275.9,1.368,7.38529988722,-0.334669825076,0.380465851435,0.3,0.00916194118338,39.8077161415,11.6490260398,9.52084015339,1.1096719471,0.0575879183164,430,1,1,0.109742851343,0.989914376392,7.5,23.4,0.984706651629,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,good,False,,done,done,"T_X=7.39 (ACCEPT=7.50, 0.99x); blank-sky XRB",output/products/spectral/MACSJ1931_8_2635_results.json
MS2137-2353,MS2137_2353,MS2137-2353,0.3130,0.0165,8.28,279.6,1.2822,54.5196002811,,,0.3,0.0122468806301,48.0322395682,8.16422120475,15.0960309876,15.5646926196,,864,2,2,0.0731734696362,4.78133435304,6.3,11.4,8.65390480652,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,bad,True,T_X=54.52 rstat=15.56; 4974+5250 only still failed; ObsID 928 blanksky moved to blanksky_disabled,bad,done,T_X=54.52 rstat=15.56; 4974+5250 only still failed; ObsID 928 blanksky moved to blanksky_disabled,output/products/spectral/MS2137_2353_results.json
RXJ1347.5-1145,RXJ1347_5_1145,RXJ1347.5-1145,0.4510,0.0165,22.33,293.5,1.6927,18.4418573751,0.565,0.586,0.3,0.016109943498,132.083923391,27.0300030605,17.6019626856,1.62522305869,2.55651057629e-94,3029,7,7,0.00963968862116,3.19987509316,10.88,101,1.6950236558,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,low_q_value,bad,True,"T_X=18.44 (ACCEPT=10.88, 1.70x) rstat=1.63; full 7/7 ObsIDs worsens fit; annulus rstat=3.20",bad,done,"T_X=18.44 (ACCEPT=10.88, 1.70x) rstat=1.63; full 7/7 ObsIDs worsens fit; annulus rstat=3.20",output/products/spectral/RXJ1347_5_1145_results.json
RXJ1532.9+3021,RXJ1532_9_3021,RXJ1532.9+3021,0.3630,0.0165,4.17,197.9,1.001,5.86356755622,-0.278267288387,0.290582372314,0.3,0.00977091608722,41.1603540564,13.4946644734,9.16045126261,0.966671736849,0.679821148063,423,1,1,0.00676071665212,0.896662046776,5.44,21,1.07786168313,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,good,False,,done,done,"T_X=5.86 (ACCEPT=5.44, 1.08x); blank-sky XRB",output/products/spectral/RXJ1532_9_3021_results.json
RXJ2129.7+0005,RXJ2129_7_0005,RXJ2129.7+0005,0.2340,0.0165,4.48,289,1.0757,6.84390325425,-0.182649727483,0.195656007354,0.3,0.00951001147425,18.7583355191,5.73201167847,11.4694266631,1.15337693659,0.00112932963557,864,2,2,0.0393036740383,1.03831110629,6.1,12.7,1.12195135316,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,good,False,,done,done,"T_X=6.84 (ACCEPT=6.10, 1.12x) rstat=1.15; blank-sky XRB; 2/2 ObsIDs; CALDB fixed",output/products/spectral/RXJ2129_7_0005_results.json
RXJ2248.7-4431,RXJ2248_7_4431,RXJ2248.7-4431,0.3480,0.0165,12.45,294.6,1.4497,12.149296076,-0.477356367131,0.578765189055,0.3,0.0162081882716,78.3820883774,18.7023569929,19.2539187812,1.06449548465,0.171117958611,431,1,1,0.0471883193919,1.08866561896,11.1,71.5,1.09453117801,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,good,False,,done,done,"T_X=12.15 (ACCEPT=11.10, 1.09x); blank-sky XRB",output/products/spectral/RXJ2248_7_4431_results.json
ZwCl_0857.9+2107,ZwCl_0857_9_2107,ZwCl 0857.9+2107,0.2350,0.0165,7.985714,349.1,1.3038,4.67501829932,-0.12078956726,0.123290138965,0.3,0.00619779222428,10.6171721718,3.91178357726,6.42936333667,1.13010318364,0.00451508556772,864,2,2,0.106100254863,1.81136492971,12.1,0,0.386365148704,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,bad,True,"T_X=4.68 (ACCEPT=12.10, 0.39x) rstat=1.13; blank-sky XRB; 2/2 ObsIDs; ACCEPT reference is single ObsID 7897 9ks with Lbol=0 flag, likely reference/aperture mismatch; exclude from main scaling",bad,done,"T_X=4.68 (ACCEPT=12.10, 0.39x) rstat=1.13; blank-sky XRB; 2/2 ObsIDs; ACCEPT reference is single ObsID 7897 9ks with Lbol=0 flag, likely reference/aperture mismatch; exclude from main scaling",output/products/spectral/ZwCl_0857_9_2107_results.json
