cluster_key,config_key,cluster_name,z,nH_1e22,M500_1e14_msun,M500_err_lo,M500_err_hi,M500_err_source,M500_err_note,R500_arcsec,R500_Mpc,R500_err_lo,R500_err_hi,R500_err_source,aperture_label,source_inner_r500,source_outer_r500,Tx_keV,Tx_err_lo,Tx_err_hi,abundance_solar,apec_norm,Lx_bol_1e44_erg_s,Lx_bol_err_lo,Lx_bol_err_hi,Lx_soft_1e44_erg_s,Lx_soft_err_lo,Lx_soft_err_hi,Lx_uncertainty_method,Lx_uncertainty_flag,flux_bol_1e12_erg_s_cm2,rstat,qval,dof,n_src_spec,n_ann_spec,R_EM,annulus_rstat,accept_Tx_keV,accept_Lx_1e44_erg_s,ratio_Tx_accept,method,xrb_policy,abundance_policy,fit_band,qa_flags,quality,exclude_from_main_scaling,exclude_reason,spectral_status,status,pipeline_notes,result_json
MACSJ0429.6-0253,MACSJ0429_6_0253,MACSJ0429.6-0253,0.3990,0.0165,6.85,2.1,2.1,Umetsu+2016 Table 3,CLASH M500c in 1e14 Msun physical units h=0.7,217.14147831,1.16490779722,22.1896401193,22.1896401193,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,0.15,1,7.75452387632,,,0.3,0.00128550426215,7.14047236386,0.434046599944,0.395528862441,2.03561458224,0.0710169327033,0.0722767761996,sherpa.sample_energy_flux,,1.27232049777,0.86458406597,0.979947898892,427,1,1,0.111969291148,1.05515747328,6.76,11.7,1.14711891662,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,good,False,,done,done,"T_X=6.43 (ACCEPT=6.76, 0.95x) rstat=0.97; blank-sky XRB",output/products/spectral/core_excised/MACSJ0429_6_0253_results.json
MACSJ0647.7+7015,MACSJ0647_7_7015,MACSJ0647.7+7015,0.5840,0.0165,9.49,2.51,2.51,Umetsu+2016 Table 3,CLASH M500c in 1e14 Msun physical units h=0.7,182.926466572,1.20754833755,16.127342153,16.127342153,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,0.15,1,16.9042936136,,,0.3,0.00178889141462,23.3320805064,0.88815258844,0.815059547937,4.77104258606,0.204016933833,0.234478667265,sherpa.sample_energy_flux,,1.67076266906,1.06375352019,0.0965921000738,847,2,2,0.0242427503717,0.953690771355,9.07,26.7,1.86375894306,blank_sky_XRB_heRenorm,flexible,fixed,0.7-7,xrb_shapes_freed_compare_aic_bic_before_adopting,high,False,,done,done,"T_X=16.74 (ACCEPT=9.07, 1.85x) rstat=1.15; flexible XRB test; high Tx persists",output/products/spectral/core_excised/MACSJ0647_7_7015_results.json
MACSJ0744.9+3927,MACSJ0744_9_3927,MACSJ0744.9+3927,0.6860,0.0165,11.94,2.81,2.81,Umetsu+2016 Table 3,CLASH M500c in 1e14 Msun physical units h=0.7,176.596422593,1.25167854357,13.853599874,13.853599874,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,0.15,1,10.716127551,,,0.3,0.001315335769,20.952745602,0.7664831463,0.698039247516,5.00853648256,0.12225291601,0.115290106951,sherpa.sample_energy_flux,,1.01397397927,0.974008281493,0.741595207639,1273,3,3,0.00590171123171,1.02385664936,11.29,24.9,0.949169845083,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,good,False,,done,done,"T_X=10.15 (ACCEPT=11.29, 0.90x); blank-sky XRB",output/products/spectral/core_excised/MACSJ0744_9_3927_results.json
MACSJ1115.9+0129,MACSJ1115_9_0129,MACSJ1115.9+0129,0.3520,0.0165,10.67,2.22,2.22,Umetsu+2016 Table 3,CLASH M500c in 1e14 Msun physical units h=0.7,277.307298778,1.37490563812,19.2321837953,19.2321837953,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,0.15,1,12.1725879843,,,0.3,0.00276755806994,13.6803953238,0.22667487103,0.199796516156,3.25785708412,0.059243384254,0.0540489433879,sherpa.sample_energy_flux,,3.27195000713,0.973651330429,0.704179023406,864,2,2,0.129258530873,1.04550940587,9.26,1.49,1.31453433955,blank_sky_XRB_heRenorm,fixed_shape,fixed,0.7-7,,acceptable,False,,done,done,"T_X=8.92 (ACCEPT=9.26, 0.96x); blank-sky XRB",output/products/spectral/core_excised/MACSJ1115_9_0129_results.json
MACSJ1206.2-0847,MACSJ1206_2_0847,MACSJ1206.2-0847,0.4400,,12.24,2.49,2.49,Umetsu+2016 Table 3,CLASH M500c in 1e14 Msun physical units h=0.7,244.701549908,1.39127868661,16.5933240542,16.5933240542,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,,,,,,,,,,,,,,missing,lx_uncertainty_unavailable,,,,,,,,,7.88,37.3,,,,,,,unknown,False,,done,missing_result,"T_X=12.35 (ACCEPT=7.88, 1.57x) rstat=1.08; blank-sky XRB; rerun with 5/6 ObsIDs after CALDB/PFILES fix",
MACSJ1720.3+3536,MACSJ1720_3_3536,MACSJ1720.3+3536,0.3910,,9.96,2.53,2.53,Umetsu+2016 Table 3,CLASH M500c in 1e14 Msun physical units h=0.7,249.840491449,1.32379429499,21.1544994433,21.1544994433,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,,,,,,,,,,,,,,missing,lx_uncertainty_unavailable,,,,,,,,,5.65,13.1,,,,,,,unknown,False,,done,missing_result,"T_X=7.32 (ACCEPT=5.65, 1.30x); blank-sky XRB; partial ObsID (1/4)",
MACSJ1931.8-2635,MACSJ1931_8_2635,MACSJ1931.8-2635,0.3520,,10.51,4.05,4.05,Umetsu+2016 Table 3,CLASH M500c in 1e14 Msun physical units h=0.7,275.914208788,1.36799861731,35.4409307197,35.4409307197,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,,,,,,,,,,,,,,missing,lx_uncertainty_unavailable,,,,,,,,,7.5,23.4,,,,,,,unknown,False,,done,missing_result,"T_X=7.39 (ACCEPT=7.50, 0.99x); blank-sky XRB",
MS2137-2353,MS2137_2353,MS2137-2353,0.3130,,8.28,2.57,2.57,Umetsu+2016 Table 3,CLASH M500c in 1e14 Msun physical units h=0.7,279.599258459,1.282214175,28.9279426023,28.9279426023,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,,,,,,,,,,,,,,missing,lx_uncertainty_unavailable,,,,,,,,,6.3,11.4,,,,,,,bad,True,T_X=54.52 rstat=15.56; 4974+5250 only still failed; ObsID 928 blanksky moved to blanksky_disabled,bad,missing_result,T_X=54.52 rstat=15.56; 4974+5250 only still failed; ObsID 928 blanksky moved to blanksky_disabled,
RXJ1347.5-1145,RXJ1347_5_1145,RXJ1347.5-1145,0.4510,,22.33,4.89,4.89,Umetsu+2016 Table 3,CLASH M500c in 1e14 Msun physical units h=0.7,293.532925631,1.69272111752,21.4267205006,21.4267205006,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,,,,,,,,,,,,,,missing,lx_uncertainty_unavailable,,,,,,,,,10.88,101,,,,,,,bad,True,"T_X=18.44 (ACCEPT=10.88, 1.70x) rstat=1.63; full 7/7 ObsIDs worsens fit; annulus rstat=3.20",bad,missing_result,"T_X=18.44 (ACCEPT=10.88, 1.70x) rstat=1.63; full 7/7 ObsIDs worsens fit; annulus rstat=3.20",
RXJ1532.9+3021,RXJ1532_9_3021,RXJ1532.9+3021,0.3630,,4.17,1.71,1.71,Umetsu+2016 Table 3,CLASH M500c in 1e14 Msun physical units h=0.7,197.940312183,1.00101973023,27.0565894351,27.0565894351,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,,,,,,,,,,,,,,missing,lx_uncertainty_unavailable,,,,,,,,,5.44,21,,,,,,,unknown,False,,done,missing_result,"T_X=5.86 (ACCEPT=5.44, 1.08x); blank-sky XRB",
RXJ2129.7+0005,RXJ2129_7_0005,RXJ2129.7+0005,0.2340,,4.48,1.16,1.16,Umetsu+2016 Table 3,CLASH M500c in 1e14 Msun physical units h=0.7,288.983457263,1.07569200328,24.9420245852,24.9420245852,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,,,,,,,,,,,,,,missing,lx_uncertainty_unavailable,,,,,,,,,6.1,12.7,,,,,,,unknown,False,,done,missing_result,"T_X=6.84 (ACCEPT=6.10, 1.12x) rstat=1.15; blank-sky XRB; 2/2 ObsIDs; CALDB fixed",
RXJ2248.7-4431,RXJ2248_7_4431,RXJ2248.7-4431,0.3480,,12.45,3.62,3.62,Umetsu+2016 Table 3,CLASH M500c in 1e14 Msun physical units h=0.7,294.564411496,1.4496672245,28.5494824529,28.5494824529,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,,,,,,,,,,,,,,missing,lx_uncertainty_unavailable,,,,,,,,,11.1,71.5,,,,,,,unknown,False,,done,missing_result,"T_X=12.15 (ACCEPT=11.10, 1.09x); blank-sky XRB",
ZwCl_0857.9+2107,ZwCl_0857_9_2107,ZwCl 0857.9+2107,0.2350,,2.071429,1.071429,0.985714,Okabe+2016 Table 2,Corrects prior config value that used M180m; LoCuSS M500 converted from 1.45 -0.75/+0.69 1e14 h^-1 Msun by dividing by h=0.7,222.667109456,0.831498716548,38.3908883541,35.3195929203,propagated_from_M500_err; delta_R500/R500=(1/3)delta_M500/M500,core_excised_0.15_1.0R500,,,,,,,,,,,,,,missing,lx_uncertainty_unavailable,,,,,,,,,12.1,0,,,,,,,bad,True,"T_X=4.68 (ACCEPT=12.10, 0.39x) rstat=1.13; blank-sky XRB; 2/2 ObsIDs; ACCEPT reference is single ObsID 7897 9ks with Lbol=0 flag, likely reference/aperture mismatch; exclude from main scaling",bad,missing_result,"T_X=4.68 (ACCEPT=12.10, 0.39x) rstat=1.13; blank-sky XRB; 2/2 ObsIDs; ACCEPT reference is single ObsID 7897 9ks with Lbol=0 flag, likely reference/aperture mismatch; exclude from main scaling",
