cluster_key,z,r500_arcsec,status,Tx_keV,abundance,correction_factor,Tx_err_lo,Tx_err_hi,rstat,statval,dof,n_spectra,R_EM,accept_Tx,ratio
Abell_0209,0.206,451.1003960767168,done,21.130040332218584,0.3,0.010459,-1.640221135810652,2.1329817173132035,2.143644809952076,3011.820957982667,1405,2,0.0186315,8.28,2.5519372381906504
Abell_0068,0.2546,310.0645589221398,done,33.43667167371704,0.3,0.000556,-5.618184237245956,8.923978948930817,1.146372327879931,507.8429412508094,443,1,0.001,7.99,4.184814977937052
Abell_0267,0.23,315.8224159800818,done,15.709718546854688,0.3,0.000556,-1.163358337319604,1.3077528789736839,1.3031160514914875,2881.1895898476787,2211,4,0.001,6.79,2.3136551615397183
Abell_0383,0.187,367.39179815724486,done,8.53751104264019,0.3,0.033236,,,3.582614407995317,6806.967375191102,1900,3,0.0578997,3.93,2.172394667338471
Abell_0586,0.171,442.49064998453326,done,,,,,,,,,,,8.7,
Abell_0611,0.288,308.5053374748005,done,,,,,,,,,,,6.69,
Abell_0697,0.282,399.47923117093643,done,32.79474352152953,0.3,0.005587,,,63.41370258453376,90047.45767003794,1420,2,0.01,9.06,3.619728865510986
Abell_0750,0.163,395.3329256389411,done,,,,,,,,,,,,
Abell_2261,0.224,454.8379508580181,done,,,,,,,,,,,7.58,
